count,ep_reward_average,loss,td_error,qmean,eps,beta
0,NaN,0,0,0,1,0.4
5000,17.1,0,0,0,0.962,0.406
10000,23,1.151058,1.0702193,-0.013000597,0.924,0.41200000000000003
15000,19.3,0.52621835,0.3425888,3.9990802,0.886,0.41800000000000004
20000,23.45,1.0046343,0.04446131,11.020674,0.848,0.42400000000000004
25000,31.45,2.0564382,0.026811946,18.525795,0.81,0.43000000000000005
30000,29.2,2.8425462,0.022776179,25.959812,0.772,0.436
35000,45.45,3.6234012,0.033363253,33.53953,0.734,0.442
40000,51.05,3.7967062,0.039980557,43.36323,0.696,0.448
45000,43,4.8584843,0.04153341,54.043446,0.658,0.454
50000,74.95,5.9044285,0.036449105,63.462124,0.62,0.46
55000,107.3,6.322574,0.033327762,71.78946,0.582,0.466
60000,120.85,5.8387203,0.033250052,79.08001,0.544,0.47200000000000003
65000,111.8,5.576352,0.025767818,86.07098,0.506,0.47800000000000004
70000,174.8,5.150439,0.027570212,91.15628,0.468,0.484
75000,129.85,4.8331175,0.030673549,94.93149,0.43,0.49
80000,143.2,2.895599,0.020222038,98.407646,0.392,0.496
85000,240.25,2.3810818,0.02293049,98.75967,0.354,0.502
90000,256.75,1.5879556,0.017198842,97.60177,0.316,0.508
95000,257.6,0.57500905,0.009421671,97.907745,0.278,0.514
100000,310.95,0.6898326,0.0080468105,97.879906,0.24,0.52
105000,279.65,0.35186177,0.008103051,96.86086,0.202,0.526
110000,311.75,0.40599605,0.0052474956,95.66823,0.164,0.532
115000,297.6,0.2743945,0.005051036,91.94888,0.126,0.538
120000,303.1,0.064176105,0.003648565,88.627884,0.088,0.544
125000,304.35,0.05113448,0.0030893069,87.271,0.05,0.55
130000,312.8,0.044355657,0.0030185382,84.12854,0.05,0.556
135000,341.85,0.028958205,0.0015934773,83.35526,0.05,0.562
140000,331.7,0.023361443,0.00028240232,84.73727,0.05,0.5680000000000001
145000,348,0.02540206,0.0015133641,84.49093,0.05,0.5740000000000001
150000,362.1,0.020335777,0.0018530728,83.89428,0.05,0.5800000000000001
155000,395.45,0.013078598,-0.000048337937,83.8846,0.05,0.5860000000000001
160000,404.25,0.0123403,0.00029366743,84.26758,0.05,0.5920000000000001
165000,404.35,0.016374014,-0.000742769,82.90716,0.05,0.598
170000,429.25,0.011382296,-0.00029683384,83.54079,0.05,0.604
175000,457.9,0.014002773,0.0004104246,86.10264,0.05,0.61
180000,468.3,0.010044374,0.0015235337,88.91216,0.05,0.616
185000,479,0.009557091,0.0022622265,89.19121,0.05,0.622
190000,490.6,0.011490673,0.0019197363,90.513084,0.05,0.628
195000,499.4,0.00910986,0.0034974504,91.672775,0.05,0.634
200000,499.5,0.0070020203,0.0027356688,93.0275,0.05,0.64
205000,478.7,0.03924954,-0.0008054242,95.49874,0.05,0.646
210000,445.25,0.10985354,0.0005408034,96.03422,0.05,0.652
215000,466.15,0.03592,0.0035144663,94.418236,0.05,0.658
220000,492.05,0.003487227,0.0010051634,98.07114,0.05,0.664
225000,490.55,0.0031570687,0.0013345018,101.407196,0.05,0.6699999999999999
230000,478.55,0.004786064,0.002611471,99.49394,0.05,0.6759999999999999
235000,471.05,0.0058880467,0.001995264,96.32385,0.05,0.6819999999999999
240000,492.5,0.0036672263,0.0018962002,97.22174,0.05,0.688
245000,500,0.0028917338,0.0020655284,100.60576,0.05,0.694
250000,495.15,0.0033497175,0.0028143874,99.8681,0.05,0.7
255000,495.15,0.0022255683,0.0031843174,100.449715,0.05,0.706
260000,500,0.0017100228,0.0037955346,101.55004,0.05,0.712
265000,500,0.0022207755,0.0046730596,101.61925,0.05,0.718
270000,494.6,0.0034486656,0.004505459,101.143745,0.05,0.724
275000,492.8,0.0039414507,0.0040493673,99.929504,0.05,0.73
280000,498.2,0.00363,0.0041333963,100.00118,0.05,0.736
285000,500,0.0017864387,0.0032435441,101.38308,0.05,0.742
290000,495.55,0.002431678,0.0013230722,99.50266,0.05,0.748
295000,495.55,0.0025003396,0.0015133066,98.44767,0.05,0.754
300000,500,0.001213726,0.0027741308,100.35913,0.05,0.76
305000,500,0.0010264132,0.0026083752,101.33272,0.05,0.766
310000,500,0.00095516344,0.002665517,101.18775,0.05,0.772
315000,500,0.0011866749,0.002023896,100.31055,0.05,0.778
320000,500,0.0008299159,0.0013866386,100.303116,0.05,0.784
325000,500,0.0006384472,0.0015950343,100.91036,0.05,0.79
330000,500,0.0004988034,0.001584271,101.12971,0.05,0.796
335000,480.7,0.014823547,-0.0018337254,101.137794,0.05,0.802
340000,457,0.06874591,-0.005945636,100.53195,0.05,0.808
345000,476.3,0.047114853,0.0040375288,100.31646,0.05,0.8140000000000001
350000,500,0.0031485937,0.001687483,100.21666,0.05,0.8200000000000001
355000,500,0.00055021903,0.0006825471,100.22733,0.05,0.8260000000000001
360000,500,0.00040985682,0.0007955813,100.31224,0.05,0.8320000000000001
365000,500,0.00034754744,0.0013663818,100.48644,0.05,0.8380000000000001
370000,500,0.00030358855,0.00028093124,100.64964,0.05,0.8440000000000001
375000,500,0.00030026172,0.00011797428,100.81412,0.05,0.85
