count,ep_reward_average,loss,td_error,qmean
0,NaN,0,0,0
5000,19.9,0,0,0
10000,22.35,2.2410471,1.4868054,-0.09731441
15000,12.1,3.0097005,0.564013,4.0354686
20000,17.85,6.5667686,0.24056245,10.435813
25000,44.35,10.043114,0.13264047,16.10686
30000,53.6,12.709993,0.076171055,22.078365
35000,71.75,14.244394,0.06431988,26.951443
40000,89.4,12.120629,0.044263717,30.088966
45000,131.75,8.037696,0.048601925,32.020027
50000,160.8,6.529432,0.059405394,31.662407
55000,151.85,7.3366146,0.09465754,33.569523
60000,89.3,9.195681,0.095842615,37.077213
65000,94.35,9.990313,0.052910693,39.72414
70000,136.55,11.559287,0.10491766,42.100147
75000,136.85,12.545633,0.08259657,42.83257
80000,56.5,16.064573,0.09476047,42.946278
85000,125.75,25.261003,0.06224971,44.3856
90000,213,22.84023,0.06184596,43.811745
95000,224.95,12.045302,0.06500978,44.722614
100000,236.95,9.994364,0.09677396,48.20859
105000,251.8,10.696949,0.10541029,51.672363
110000,257.35,10.810886,0.044123825,56.141533
115000,247.6,10.088957,0.05843726,58.37573
120000,229.65,10.493219,0.053313937,61.982353
125000,209.65,9.306008,0.034485646,65.11053
130000,183.2,7.9687877,0.032941733,66.233475
135000,209.8,7.950223,0.011376447,67.94634
140000,212.9,5.9527993,0.003295024,70.27941
145000,249.75,4.8462048,0.011058513,71.9057
150000,267.6,5.1348944,0.015647372,73.10248
155000,242.25,4.6705327,0.020961417,71.76197
160000,237,3.2094624,0.004404144,71.324936
165000,178.85,2.4767213,-0.006737286,70.14207
170000,172.75,1.819892,0.009897073,65.13518
175000,143.65,1.7382426,0.009402823,61.89747
180000,141.9,1.7223679,0.0013069729,59.293346
185000,135.85,1.5611737,0.013880556,55.989403
190000,139.1,1.2603906,-0.010530301,53.85786
195000,141.55,1.0860457,-0.0019543872,53.16423
200000,160.7,0.9836077,0.009504445,52.759674
205000,176.3,1.0055349,0.006858178,56.25903
210000,198.3,0.7352644,0.00008400231,57.970127
215000,232.4,0.633024,0.004512055,60.92112
220000,251.3,0.57132757,0.010443296,63.507698
225000,288.4,0.53740245,-0.00044137944,65.43435
230000,304.75,0.6867541,0.016470218,69.027374
235000,288.25,1.0426114,-0.00065812434,71.618225
240000,333.6,1.2978266,0.010110123,72.7823
245000,305.15,1.1724228,0.011444517,74.55259
250000,317.35,1.0988135,0.0077210492,75.32801
255000,319.55,0.7409926,0.0020337629,74.83722
260000,327.95,0.5306611,0.008287413,75.38535
265000,360.85,0.4017695,0.005730439,77.574745
270000,383.3,0.4955303,0.002643722,78.94148
275000,375.9,0.63075054,0.0009735152,79.24686
280000,400.75,0.4461922,0.00698302,79.55491
285000,399.8,0.39785987,0.0049948087,83.166695
290000,361.15,0.47294685,0.006343291,85.69467
295000,358.05,0.4084333,0.008354076,84.88546
300000,398.05,0.32113236,0.0032866267,84.43545
305000,428.35,0.28764966,0.001039086,87.78525
310000,477.6,0.2552751,0.0015818891,91.38387
315000,500,0.2269963,0.0015248981,96.77628
320000,500,0.19308516,-0.004919299,99.42448
325000,500,0.17985402,0.004195378,99.9933
330000,500,0.17568247,-0.00029927725,101.18476
335000,500,0.16714802,-0.0006966384,99.94556
340000,500,0.19101821,0.003820758,100.62745
345000,500,0.16879319,0.00043404114,101.643
350000,500,0.1627288,0.00013278866,102.26256
355000,500,0.16377506,0.0021881415,102.512314
360000,500,0.1317961,-0.000119440316,102.57961
365000,500,0.14722848,0.004406382,103.316734
370000,500,0.15783064,-0.0018102609,104.34478
375000,500,0.1579515,0.0008691238,103.70605
380000,500,0.15814593,0.00030377222,103.54881
385000,500,0.15980268,-0.0028266085,103.51943
390000,500,0.121587254,0.0014719456,102.912224
395000,500,0.1118559,0.0008350805,102.73375
400000,500,0.13152678,-0.0030175997,102.5763
405000,500,0.12248307,0.0012440246,102.52893
410000,500,0.122943155,-0.0007038037,101.8878
415000,500,0.13042857,-0.0006289512,101.472145
420000,500,0.12713684,0.0023191476,101.394066
425000,500,0.13129763,-0.00062119303,101.77271
430000,500,0.11131093,0.0039944537,102.663376
435000,500,0.13562566,-0.0012851857,102.55685
440000,500,0.13120158,0.004844077,103.59274
445000,500,0.12666632,0.004203074,104.234764
450000,500,0.11354993,-0.0014189207,104.8941
455000,500,0.10378961,0.00004385984,104.93249
460000,500,0.119645074,0.0015944605,105.55138
465000,500,0.109406784,-0.00017446125,105.22437
470000,500,0.12899056,-0.00031421817,105.48154
475000,500,0.11658567,0.0021368894,106.06524
480000,198.8,2.761892,0.0015427301,104.999596
485000,183.25,20.519337,0.00514474,99.38596
490000,406.45,16.063751,0.010619693,95.626114
495000,500,3.666337,0.00018309211,100.38651
500000,500,0.3434343,-0.0016142137,108.15444
